1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
49,1001_IWL_SAD_XX,N,63.43,S,60,D,34.33
87,1002_IEO_SAD_LO,S,51.6,S,56,N,80.14
168,1003_IEO_SAD_LO,N,65.6,S,65.29,N,80
169,1003_IEO_SAD_MD,N,54.5,S,57.14,S,55.33
170,1003_IEO_SAD_HI,N,57.8,S,68.33,S,70.44
200,1003_TAI_SAD_XX,S,64,S,51.4,S,60.38
203,1003_TAI_DIS_XX,D,63.4,S,58,D,67.33
209,1003_MTI_DIS_XX,S,54.33,S,70.33,S,58.56
214,1003_IWL_FEA_XX,F:N:S,64.67:57.67:49.33,S,53.75,F:S,56.50:84.25
221,1003_ITH_DIS_XX,N:S,77.50:26.75,S,76,D,47.25
227,1003_DFA_DIS_XX,N,59.5,S,69.17,D,62.57
230,1003_ITS_SAD_XX,S,64.8,S,63.2,F,57.4
242,1003_WSI_SAD_XX,S,59.83,S,60.2,S,67.8
251,1004_IEO_SAD_MD,N,56.38,S,58.43,S,71.6
252,1004_IEO_SAD_HI,N,64.8,S,71.1,S,74.2
259,1004_IEO_DIS_LO,N,90.25,S,77,D,59
260,1004_IEO_DIS_MD,D,68.8,S,75.56,D,70.5
264,1004_TIE_SAD_XX,S,56.14,S,69.17,S,77.38
267,1004_TIE_DIS_XX,D,66.2,S,83,D,82
270,1004_IOM_SAD_XX,N,40.43,S,65.71,S,49.67
273,1004_IOM_DIS_XX,N,64.17,S,69.2,D:F,40.00:64.33
276,1004_IWW_SAD_XX,F,36,S,62.83,F,64.2
279,1004_IWW_DIS_XX,F,58.2,S,82.5,F,45.6
282,1004_TAI_SAD_XX,F,64.25,S,68.2,S,56.29
288,1004_MTI_SAD_XX,S,57.71,S,58.67,S,51.25
290,1004_MTI_FEA_XX,F:N:S,44.33:69.33:35.67,S,69,F,78.6
294,1004_IWL_SAD_XX,S,58.9,S,77,S,74
296,1004_IWL_FEA_XX,N,53.88,S,63.88,F,58.33
297,1004_IWL_DIS_XX,D,45.6,S,82.44,D,56.4
306,1004_DFA_SAD_XX,N,52.57,S,58.12,S,61.86
309,1004_DFA_DIS_XX,D,71.38,S,79.2,D,60.88
321,1004_TSI_DIS_XX,D,62.1,S,79.56,D,61.67
327,1004_WSI_DIS_XX,D,52.89,S,67.8,D,63
394,1005_ITS_SAD_XX,N,61.67,S,55.17,S,25.25
415,1006_IEO_SAD_MD,S,44.67,S,63,S,63.44
421,1006_IEO_FEA_MD,N,63.4,S,75.67,S,74
428,1006_TIE_SAD_XX,S,62.29,S,78.11,S,77
434,1006_IOM_SAD_XX,N,79,S,65.8,S,60.71
436,1006_IOM_FEA_XX,F:N,84.75:49.25,S,78,F,62.33
440,1006_IWW_SAD_XX,S,63.6,S,56.5,S,68.29
446,1006_TAI_SAD_XX,S,66.38,S,65.29,S,75.33
448,1006_TAI_FEA_XX,S,79.4,S,54.4,F:N:S,81.33:81.33:34.33
452,1006_MTI_SAD_XX,S,64.43,S,76.62,S,74.44
