1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
5,1001_IEO_SAD_LO,N,73.71,N,73.5,N,74.8
6,1001_IEO_SAD_MD,N,42.12,N,82.44,N,72.33
17,1001_TIE_NEU_XX,N,77.8,N,54.75,N,77.6
19,1001_TIE_SAD_XX,N,66.25,N,57.67,N,78.56
23,1001_IOM_NEU_XX,N,68.5,N,79.12,N,78
25,1001_IOM_SAD_XX,N,45,N,60.5,N,76.8
26,1001_IOM_ANG_XX,N,66.57,N,54.83,F:N,64.75:61.50
29,1001_IWW_NEU_XX,N,64.75,N,64.43,N,79.14
35,1001_TAI_NEU_XX,N,48.5,N,57.12,N,85.38
41,1001_MTI_NEU_XX,N,53.75,N,78.29,N,70.86
43,1001_MTI_SAD_XX,N,59.38,N,77.2,N,65.62
44,1001_MTI_ANG_XX,N,75,N,70.5,N,56.83
47,1001_IWL_NEU_XX,N,57.88,N,71.5,N,64.5
53,1001_ITH_NEU_XX,N,76.88,N,73.38,N,74.3
55,1001_ITH_SAD_XX,N,83.6,N,70,N,59.4
59,1001_DFA_NEU_XX,N,64,N,77.22,N,75.88
61,1001_DFA_SAD_XX,N,46.8,N,66.71,N,63.6
65,1001_ITS_NEU_XX,N,82.44,N,61.38,N,77.6
67,1001_ITS_SAD_XX,N,70,N,58.17,N,61.75
71,1001_TSI_NEU_XX,N,70.5,N,68.38,N,77.36
77,1001_WSI_NEU_XX,N,65.43,N,72.78,N,71.78
79,1001_WSI_SAD_XX,N,80.33,N,56.67,N,68.29
83,1002_IEO_NEU_XX,N,86,N,77.44,N,84.6
88,1002_IEO_SAD_MD,N,64.2,N,77.29,N,81.8
89,1002_IEO_SAD_HI,N,51.5,N,68.89,N,73
100,1002_TIE_SAD_XX,F:S,48.67:57.67,N,66.8,F,77.5
104,1002_IOM_NEU_XX,N,61.25,N,73.14,N,85.5
106,1002_IOM_SAD_XX,N,67.75,N,54.25,F,49
108,1002_IOM_FEA_XX,N,88.25,N,67,N,89
110,1002_IWW_NEU_XX,F:N,49.75:43.50,N,72.57,N,66.17
112,1002_IWW_SAD_XX,N,52.5,N,74.71,F,62.6
116,1002_TAI_NEU_XX,N,54.4,N,60.62,N,81.67
118,1002_TAI_SAD_XX,D:S,57.00:50.33,N,81,F,49
122,1002_MTI_NEU_XX,N:S,66.00:47.75,N,80.78,N,69.5
