1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
15,1001_IEO_DIS_MD,N,72.75,D,75.17,D,62.25
178,1003_IEO_DIS_MD,N,52.4,D,81.2,S,70.17
179,1003_IEO_DIS_HI,D,30.75,D,75,D,71
215,1003_IWL_DIS_XX,N,77.5,D,76.83,D,74.33
233,1003_ITS_DIS_XX,F,46.33,D,83.57,D,70.3
245,1003_WSI_DIS_XX,A:D,88.00:57.67,D,77.88,D,62.56
437,1006_IOM_DIS_XX,S,52.75,D,85.62,D,66.57
449,1006_TAI_DIS_XX,D,62.67,D,77.1,D,79.33
473,1006_DFA_DIS_XX,D,55.17,D,76.8,D,75
485,1006_TSI_DIS_XX,D:N,64.50:28.25,D,87.12,D,76.78
491,1006_WSI_DIS_XX,N,67.5,D,80.6,D,69.1
507,1007_IEO_DIS_HI,A:D:N,61.67:68.67:78.33,D,77.38,D,66.56
677,1009_IOM_DIS_XX,N,66,D,75.8,D,70.4
765,1010_TAI_DIS_XX,N,67.4,D,84.75,D,33.25
795,1010_ITS_DIS_XX,D,55.33,D,80.4,D,68.4
801,1010_TSI_DIS_XX,N,68.86,D,77,D,62.67
823,1011_IEO_DIS_HI,A,56.33,D,78,D,79.27
903,1012_IEO_DIS_LO,D,74.8,D,77.88,D,57.17
904,1012_IEO_DIS_MD,F,63.5,D,75.11,D,74.88
935,1012_MTI_DIS_XX,S,39.6,D,81.78,D,72.86
947,1012_ITH_DIS_XX,D:N,65.67:67.00,D,84.5,D,82.44
999,1013_IOM_DIS_XX,N,84.2,D,80.11,D,67.7
1017,1013_MTI_DIS_XX,N,69.4,D,76,D:F,67.75:49.75
1023,1013_IWL_DIS_XX,D,44.2,D,79.75,D,63.57
1041,1013_ITS_DIS_XX,D,32,D,76.33,D,59.62
1123,1014_ITS_DIS_XX,N,48,D,79.71,D,68.29
1232,1016_IEO_DIS_MD,D,76.75,D,87,D,72
1251,1016_IWW_DIS_XX,N,39.33,D,77.33,D,77.8
1263,1016_MTI_DIS_XX,H,61.4,D,84.12,D,80.14
1269,1016_IWL_DIS_XX,D:H,46.25:45.25,D,81.4,D,58.29
1275,1016_ITH_DIS_XX,N,63,D,89,D,78.9
1281,1016_DFA_DIS_XX,A,54.5,D,85.6,D,62.33
1293,1016_TSI_DIS_XX,D,62.83,D,78.6,D,78.3
1421,1018_TAI_DIS_XX,S,92.67,D,80,D,70.8
1615,1020_TSI_DIS_XX,N,43.25,D,78,D,67.2
1717,1022_IEO_DIS_LO,N,70.67,D,83.44,D,55.8
1785,1022_WSI_DIS_XX,A:D,62.67:55.00,D,78.43,D,53.67
1801,1023_IEO_DIS_HI,F,45,D,82.62,F,68.83
1964,1025_IEO_DIS_MD,F,45.5,D,80.5,D,70.5
1965,1025_IEO_DIS_HI,F:N,39.33:55.33,D,78.4,D:F,62.6:72.2
2007,1025_ITH_DIS_XX,N,57,D,81.6,F,60.6
2025,1025_TSI_DIS_XX,N,73.4,D,77.25,D,82.78
2077,1026_MTI_DIS_XX,N,59.75,D,77.75,D:F,74.2:50.4
2107,1026_TSI_DIS_XX,F,68.2,D,80.67,D,72.14
2128,1027_IEO_DIS_MD,D,61,D,80.17,D,77.67
2159,1027_MTI_DIS_XX,N,58.25,D,82.88,D,57.5
2229,1028_IWW_DIS_XX,D,65.8,D,79.5,D,71.43
2235,1028_TAI_DIS_XX,D:N:S,87.5:43.5:89.5,D,82.5,D,88.44
2253,1028_ITH_DIS_XX,N,64.8,D,77.11,D,61.67
2265,1028_ITS_DIS_XX,D,54.4,D,84.62,D,68.25
2277,1028_WSI_DIS_XX,D,54.8,D,82,D,51.43
2291,1029_IEO_DIS_LO,N,65,D,80.56,D,79
2293,1029_IEO_DIS_HI,A,91.22,D,77,D,76.25
2299,1029_TIE_DIS_XX,A,35,D,76.57,D,71.38
2305,1029_IOM_DIS_XX,D,51.4,D,75.29,D,78
2335,1029_ITH_DIS_XX,A,60.83,D,91,D,77.88
2359,1029_WSI_DIS_XX,A,65.43,D,86,A,66.5
2387,1030_IOM_DIS_XX,D,34.5,D,86.33,D,71.44
2393,1030_IWW_DIS_XX,N,70.8,D,86.5,D,78.89
2399,1030_TAI_DIS_XX,N,67.6,D,84.4,D,72.11
2411,1030_IWL_DIS_XX,D:N,47.50:66.75,D,80,D,69
2435,1030_TSI_DIS_XX,N,70.5,D,80.8,D,75.82
2441,1030_WSI_DIS_XX,A,32.8,D,76.5,D,80.4
2481,1031_TAI_DIS_XX,N,60.33,D,75.5,D,67.75
2499,1031_ITH_DIS_XX,N,61.62,D,77.78,D,53.43
2517,1031_TSI_DIS_XX,N,80,D,81.25,D,75.33
2523,1031_WSI_DIS_XX,N,68.67,D,86,D,68.33
2619,1033_IEO_DIS_LO,D,55.5,D,79,D,86
2620,1033_IEO_DIS_MD,A:D,59.75:56.25,D,77.33,D,65.44
2645,1033_TAI_DIS_XX,N,61.6,D,88.88,D,57.86
2675,1033_ITS_DIS_XX,D,46.75,D,77.17,D,79.44
2681,1033_TSI_DIS_XX,N,45.4,D,79.43,D,66.5
2783,1035_IEO_DIS_LO,D,50.14,D,76,D,75.67
2784,1035_IEO_DIS_MD,A,54.5,D,75.7,D,78.5
2797,1035_IOM_DIS_XX,N,62.43,D,77.67,D,73.22
2827,1035_ITH_DIS_XX,D,41,D,75.7,D,72.44
2833,1035_DFA_DIS_XX,D,48.8,D,81.7,D,72.64
