1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
4,1001_IEO_HAP_HI,H,63.5,H,68.25,H,73.2
66,1001_ITS_HAP_XX,H,50.83,H,54.75,H,67.4
111,1002_IWW_HAP_XX,H,53.43,H,63.7,H,65.7
117,1002_TAI_HAP_XX,H,63.5,H,57.22,H,60.43
167,1003_IEO_HAP_HI,H,66,H,79.2,H,65.27
187,1003_IOM_HAP_XX,H,59.8,H,79.8,H,72.22
193,1003_IWW_HAP_XX,H,79.89,H,78.45,H,63.3
229,1003_ITS_HAP_XX,H,63.5,H,84.7,H,77.33
269,1004_IOM_HAP_XX,H,62.33,H,75.6,H,81.38
305,1004_DFA_HAP_XX,H,70.5,H,90.36,H,75.7
331,1005_IEO_HAP_HI,H,74.14,H,69.11,H,72.3
345,1005_TIE_HAP_XX,H,73.75,H,66,H,79.14
351,1005_IOM_HAP_XX,H,71.83,H,72.6,H,76
363,1005_TAI_HAP_XX,H,67.4,H,55.5,H,61.17
393,1005_ITS_HAP_XX,H,62.67,H,71.44,H,63.4
399,1005_TSI_HAP_XX,H,63.4,H,75.22,H,81
413,1006_IEO_HAP_HI,H,59.5,H,81.89,H,82.62
445,1006_TAI_HAP_XX,H,53.14,H,64.5,H,64.75
457,1006_IWL_HAP_XX,H,79.6,H,61.44,H,57
469,1006_DFA_HAP_XX,H,59.62,H,56.29,H,67.75
475,1006_ITS_HAP_XX,H,67.62,H,62.71,H,59.1
487,1006_WSI_HAP_XX,H,58.5,H,59.38,H,62.8
493,1007_IEO_HAP_LO,H,62.6,H,76.6,H,68.44
495,1007_IEO_HAP_HI,H,71.12,H,76.67,H,87.33
551,1007_DFA_HAP_XX,H,61.83,H,77.2,H,63.3
576,1008_IEO_HAP_MD,H,53.4,H,86.1,H,82
591,1008_TIE_HAP_XX,H,58.2,H,88.75,H,67
615,1008_MTI_HAP_XX,H,63.67,H,77.5,H,64.75
621,1008_IWL_HAP_XX,H,69.33,H,82.6,H,76.7
639,1008_ITS_HAP_XX,H,54.78,H,85.7,H,80
651,1009_IEO_HAP_LO,H,53.43,H,71.56,H,61.2
652,1009_IEO_HAP_MD,H,71.12,H,76.55,H,78.56
673,1009_IOM_HAP_XX,H,71.83,H,85.5,H,93.43
691,1009_IWL_HAP_XX,H,72.62,H,77.73,H,64.55
697,1009_ITH_HAP_XX,H,61.86,H,79,H,78.7
703,1009_DFA_HAP_XX,H,61.5,H,73.45,H,75.3
709,1009_ITS_HAP_XX,H,61.38,H,79.8,H,88.91
721,1009_WSI_HAP_XX,H,56.22,H,87.12,H,80.11
755,1010_IWW_HAP_XX,H,51.75,H,75.78,H,73.33
767,1010_MTI_HAP_XX,H,61,H,53.62,H,55.38
773,1010_IWL_HAP_XX,H,66,H,63.2,H,71
779,1010_ITH_HAP_XX,H,60,H,73.27,H,73.33
791,1010_ITS_HAP_XX,H,58.44,H,76.88,H,63.1
803,1010_WSI_HAP_XX,H,68.25,H,83.4,H,64.8
811,1011_IEO_HAP_HI,H,78.43,H,75.22,H,74.44
893,1012_IEO_HAP_HI,H,58,H,75,H,77.89
995,1013_IOM_HAP_XX,H,78.4,H,79.75,H,82
1007,1013_TAI_HAP_XX,H,66,H,79.5,H,78.3
1031,1013_DFA_HAP_XX,H,70.38,H,78.3,H,74.9
1037,1013_ITS_HAP_XX,H,52.6,H,79.55,H,82.8
1057,1014_IEO_HAP_HI,H,68,H,74.22,H,86.56
1159,1015_IOM_HAP_XX,H,68.75,H,74.25,H,61.75
